{9.965362352126363, 2.0192474323654305*^10, 5.90330009686732*^12}	{9.965362352126363, 0.0028032424857190232, 0.005603985501647015}	{9.965362352126363, 45.2686554498441, 336.14760024848596}
{9.962717625071727, 3.3021779003898006*^10, 1.077703213252926*^13}	{9.962717625071727, 0.002432456640449775, 0.0029821125279981806}	{9.962717625071727, 36.989059984852496, 93.87236430158644}
{9.941242232939008, 2.0225046885751667*^10, 5.762420935386529*^12}	{9.941242232939008, 0.002971785646122723, 0.005737625989725773}	{9.941242232939008, 45.07244919798738, 334.8719923366696}
{9.911463724503363, 1.6379320134429262*^10, 7.007396423764519*^12}	{9.911463724503363, 0.0016470788656397309, 0.0045936114773634145}	{9.911463724503363, 47.49477686237443, 342.5975099249689}
{9.90954165162711, 1.730389315112362*^10, 7.116588918629981*^12}	{9.90954165162711, 0.001679363610338721, 0.004613439822890303}	{9.90954165162711, 47.701525958150015, 342.6151403721217}
{9.89356094426917, 1.738268161745783*^10, 7.099332365724712*^12}	{9.89356094426917, 0.001702944246144303, 0.004636533973365481}	{9.89356094426917, 47.72256575757314, 342.59648721512053}
{9.881002329773395, 1.7383099033274605*^10, 7.119209303454691*^12}	{9.881002329773395, 0.0017107429518789605, 0.0046357734997267514}	{9.881002329773395, 47.590492579158585, 342.8472614442285}
{9.870935246220599, 1.6853814753655767*^10, 7.034244316107953*^12}	{9.870935246220599, 0.0017041827696975531, 0.004635177660108234}	{9.870935246220599, 47.47747787543154, 342.6394615969535}
{9.86589651352786, 1.6563509242638018*^10, 6.983492707250502*^12}	{9.86589651352786, 0.0017139769387002856, 0.004648508802675123}	{9.86589651352786, 47.36875088800617, 17.311732031485022}
{9.864051240406923, 1.6935334269713968*^10, 7.183857892830968*^12}	{9.864051240406923, 0.0015943550935267389, 0.004547165448598507}	{9.864051240406923, 47.52403820672159, 342.43840669946525}
{9.85790930072909, 1.754586342408605*^10, 7.14744504028853*^12}	{9.85790930072909, 0.0016946126658110316, 0.004627671619100219}	{9.85790930072909, 47.64973715622391, 342.36193932808595}
{9.855788767342256, 1.7085247382454208*^10, 7.121143675531486*^12}	{9.855788767342256, 0.0016537965602583912, 0.004596591988088192}	{9.855788767342256, 47.57696871304706, 342.3363659209463}
{9.853273428118671, 3.2246524827081467*^10, 1.0685602655014252*^13}	{9.853273428118671, 0.0024744767626295114, 0.003007350461162041}	{9.853273428118671, 36.963749379646764, 93.42178263020587}
{9.85143700104572, 2.243925027672612*^11, 8.142690980726397*^13}	{9.85143700104572, 9.729881160552375*^-7, 0.0010207333435999476}	{9.85143700104572, 42.68290046580425, 274.8459162250673}
