{7.155855770007151, 1.6870987646310399*^9, 5.95113036621557*^12}	{7.155855770007151, 0.005373023860849831, 0.00579446623566564}	{7.155855770007151, 41.503392887345356, 250.64100534618444}
{7.126569021831787, 2.0414137236683772*^9, 6.38514173766617*^12}	{7.126569021831787, 0.0032672896807649904, 0.005228189283865678}	{7.126569021831787, 43.15210666609148, 321.65033078663726}
{7.0864839610741654, 2.18519743334511*^9, 5.798909316984378*^12}	{7.0864839610741654, 0.004077161293277963, 0.004491190108518588}	{7.0864839610741654, 42.273138760252294, 289.29245293143845}
{6.9050019250082215, 6.7956668315326*^9, 9.335337874738994*^12}	{6.9050019250082215, 0.0035775915767296764, 0.004661442705770682}	{6.9050019250082215, 40.09653279486769, 53.62266699534434}
{6.886600829287391, 3.3507512527182603*^9, 1.0393674031944691*^13}	{6.886600829287391, 0.0031123747775335187, 0.0050482545273538475}	{6.886600829287391, 42.919132783153664, 38.73854390341526}
{6.884182777668516, 7.083136045556619*^9, 9.503167568340973*^12}	{6.884182777668516, 0.003581018227200483, 0.004677300730197968}	{6.884182777668516, 39.96376878843752, 53.488239026346534}
{6.858156682069832, 6.872582049370648*^9, 9.301084799350443*^12}	{6.858156682069832, 0.0035948172956328924, 0.004648064097657713}	{6.858156682069832, 40.09260086222733, 54.323142191771225}
{6.85583674777275, 6.925270424209594*^9, 9.360405984928008*^12}	{6.85583674777275, 0.0035687431379692923, 0.0046726277182904665}	{6.85583674777275, 40.02703220670389, 53.23181727675769}
{6.809162468459043, 7.010137652068501*^9, 9.439695530646154*^12}	{6.809162468459043, 0.0035756368225788194, 0.004670502600262905}	{6.809162468459043, 39.998304234743046, 53.45992589567705}
{6.762421395589538, 6.895294413765382*^9, 9.286981155159037*^12}	{6.762421395589538, 0.003608961208184574, 0.00462765533400695}	{6.762421395589538, 40.09026017219146, 55.07821237561048}
{6.740968842055856, 6.72378597742489*^9, 9.147943383185648*^12}	{6.740968842055856, 0.003613942121200801, 0.00460971379225162}	{6.740968842055856, 40.19566456120015, 55.49989743565861}
{6.6454820664408345, 2.984862990738228*^9, 9.221002907650697*^12}	{6.6454820664408345, 0.0032020566823745085, 0.005519239783804137}	{6.6454820664408345, 43.19371227158048, 25.254397190363235}
{6.573030153996966, 2.9793033386394653*^9, 9.161664736721207*^12}	{6.573030153996966, 0.0032116368244388916, 0.005507607028880822}	{6.573030153996966, 43.23559743664317, 25.779225850935312}
{6.5686500696327395, 9.508412612075824*^8, 2.6792078993217153*^12}	{6.5686500696327395, 0.0031124326803866204, 0.004793452518253336}	{6.5686500696327395, 45.082383216956146, 321.15267946929157}
{6.56661870198915, 2.9845174244095516*^9, 9.162640170808617*^12}	{6.56661870198915, 0.0032157371889939275, 0.005490606890318394}	{6.56661870198915, 43.232794822652885, 26.322067598011266}
{6.565660337583698, 2.9731913913761973*^9, 9.145296337644412*^12}	{6.565660337583698, 0.003208341681219266, 0.005513219580726375}	{6.565660337583698, 43.23391412994958, 25.54521646892646}
{6.561872417336984, 3.0244125692260175*^9, 9.2435576327592*^12}	{6.561872417336984, 0.0032063920287201406, 0.005506898840694316}	{6.561872417336984, 43.20714342170506, 25.62720737180502}
{6.53263854489787, 3.009929721810734*^9, 9.197419289091146*^12}	{6.53263854489787, 0.0032043537981190032, 0.005520183446905227}	{6.53263854489787, 43.22315091763086, 25.21737369835012}
{6.513015155377998, 2.9924832055576563*^9, 9.146585372230256*^12}	{6.513015155377998, 0.0032088888543388696, 0.005512439442508534}	{6.513015155377998, 43.240531590069956, 25.546481333248064}
{6.462188445567919, 4.0913212212957087*^9, 8.706900065389923*^12}	{6.462188445567919, 0.0029005582874688674, 0.005576843867349201}	{6.462188445567919, 43.42074287779672, 7.765270804534781}
{6.342432019810138, 1.0506870192169316*^9, 3.539825871831877*^12}	{6.342432019810138, 0.004520741100188685, 0.004601594766080326}	{6.342432019810138, 43.837969313194876, 275.68383240986424}
{6.313940873757052, 8.240544531194847*^8, 2.8653664727996377*^12}	{6.313940873757052, 0.003906800161676465, 0.0044232419496877985}	{6.313940873757052, 44.111242220756466, 294.51932863276227}
{6.310679574797731, 4.375349399902363*^9, 9.171280483160543*^12}	{6.310679574797731, 0.002888941806410222, 0.005537363741118104}	{6.310679574797731, 43.27996190620841, 9.36045421476578}
{6.296525507398347, 4.2165598373991594*^9, 8.89864698286896*^12}	{6.296525507398347, 0.002900006911566733, 0.0055639586055663375}	{6.296525507398347, 43.35712507573342, 8.589419359413602}
{6.284546521737703, 4.3052964343457775*^9, 9.032823253932781*^12}	{6.284546521737703, 0.0028949682280237496, 0.0055493534469696374}	{6.284546521737703, 43.318746660479874, 9.096820755340122}
{6.282656768364591, 1.6040465414789393*^9, 4.632621675402679*^12}	{6.282656768364591, 0.0044841103433508524, 0.004654502896223802}	{6.282656768364591, 44.331881124479395, 258.7630405514371}
{6.279231313167054, 4.209722463157932*^9, 8.922403239074654*^12}	{6.279231313167054, 0.0029028231792201146, 0.005565536246133843}	{6.279231313167054, 43.35790143903125, 8.700459663064313}
{6.25454339840448, 1.8693403538460717*^9, 6.022696779178015*^12}	{6.25454339840448, 0.0035416841027149787, 0.004376716553160461}	{6.25454339840448, 43.364059359739066, 295.8573910245424}
{6.227344769956314, 4.366856672811557*^9, 9.16416684798145*^12}	{6.227344769956314, 0.002893860871052581, 0.005545224471896265}	{6.227344769956314, 43.271556091617725, 9.322797155517621}
{6.227279178573018, 4.1930471089117985*^9, 8.876680828144559*^12}	{6.227279178573018, 0.0029077959081509046, 0.005572064091295621}	{6.227279178573018, 43.36949025120628, 8.67891777836167}
{6.217054257782497, 9.399851402422415*^8, 2.598941666552307*^12}	{6.217054257782497, 0.003271864698597183, 0.00468864420323934}	{6.217054257782497, 44.898501923200186, 315.4443361635855}
{6.150425578721862, 1.775051410793091*^9, 6.208045983373583*^12}	{6.150425578721862, 0.003603866876186105, 0.004424272542845963}	{6.150425578721862, 43.42954595751269, 296.87270620278787}
