{9.900961942850731, 5.368841281926683*^6, 4.202773104891906*^14}	{9.900961942850731, 0.00005377787983148297, 0.003098898684759763}	{9.900961942850731, 45.38240703837834, 64.58298973869869}
{9.849432248418493, 3.7832327271509436*^6, 3.299167926235456*^14}	{9.849432248418493, 0.00009588445162981667, 0.003111660558377315}	{9.849432248418493, 46.0280427225392, 305.58871595510254}
{9.779970239927888, 8.692195950136483*^6, 2.7315184063172053*^14}	{9.779970239927888, 0.00008263437192034356, 0.002926770062419385}	{9.779970239927888, 44.2811802617355, 61.39887171515373}
{9.773350508371168, 6.962540086880927*^6, 3.1938616639042406*^14}	{9.773350508371168, 0.00012788963438321236, 0.0032236898124329573}	{9.773350508371168, 43.0925411267131, 56.66966351019157}
{9.744065609137987, 1.9006045182332315*^7, 2.2328594702392656*^14}	{9.744065609137987, 0.000017674663406436916, 0.0028443613530133006}	{9.744065609137987, 38.35909911980719, 23.40107039937884}
{9.689982220628357, 7.191370305860907*^6, 3.3545962512232606*^14}	{9.689982220628357, 0.000037981783264350516, 0.0028818081205318757}	{9.689982220628357, 39.319351610612536, 55.46519721879082}
{9.657858032759579, 2.7317960866789334*^7, 2.863028181490577*^14}	{9.657858032759579, 3.6449457334081265*^-6, 0.0029750671594946728}	{9.657858032759579, 37.92983019068762, 304.05093520863363}
{9.629770240390714, 7.387893924774822*^6, 1.4983774090309666*^14}	{9.629770240390714, 0.0002354984773082875, 0.0032296902545455464}	{9.629770240390714, 35.98832987485051, 356.7526373616327}
{9.596580456628697, 1.9963932975965798*^7, 2.534473387721236*^14}	{9.596580456628697, 0.000014715663477514193, 0.002783549631663878}	{9.596580456628697, 38.545035401566594, 23.191517909612248}
{9.509172502010932, 2.4184188639948275*^7, 2.4245202714538928*^14}	{9.509172502010932, 0.00001772110764557856, 0.0028699467805662223}	{9.509172502010932, 38.43122050308063, 13.175687234884611}
{9.498834002611803, 2.259075243739018*^7, 2.0278329341945178*^14}	{9.498834002611803, 0.00002861895322574232, 0.003013671361059417}	{9.498834002611803, 37.86565851498791, 356.57132367122796}
{9.466431849515935, 1.722204836639877*^7, 2.981664756515528*^14}	{9.466431849515935, 0.000022650928511130574, 0.003121186001935128}	{9.466431849515935, 39.08043554154427, 60.021597436365425}
{9.448193933830604, 1.2676453059811097*^7, 2.5327685604623712*^14}	{9.448193933830604, 0.000042276486006170434, 0.0028172036122871094}	{9.448193933830604, 40.000050755744205, 29.219962006587632}
{9.422296744345008, 2.588470824731187*^7, 2.6259519431515594*^14}	{9.422296744345008, 0.00001638004591790169, 0.0028485996513488896}	{9.422296744345008, 38.461905952697656, 11.655774440226837}
{9.406975249468175, 2.6657763412749037*^7, 2.7452580902877656*^14}	{9.406975249468175, 0.000011354947008544854, 0.0029230509255395412}	{9.406975249468175, 37.89877766547276, 39.39670501953447}
{9.362055569209303, 1.5348220050944677*^7, 2.7899074724555744*^14}	{9.362055569209303, 0.000044776200842005454, 0.0029722525297494794}	{9.362055569209303, 45.10052154371031, 61.020703854973966}
{9.262277449671481, 71782.30234039278, 1.2952937235153622*^15}	{9.262277449671481, 0.000029631175394570326, 0.0033611735090258305}	{9.262277449671481, 34.18135792590732, 4.4507268305317504}
{9.261188905154729, 1.237384144792125*^7, 2.8001377093827388*^14}	{9.261188905154729, 0.000027150199297845882, 0.0029127220885821594}	{9.261188905154729, 37.03178492022886, 321.61484378064165}
